18:40:13 18/12/2023 - User: 100075058221244, Message: ohh parang terminal
18:40:13 18/12/2023 - User: undefined, Message: undefined
18:40:13 18/12/2023 - User: undefined, Message: undefined
18:40:13 18/12/2023 - User: undefined, Message: undefined
18:40:13 18/12/2023 - User: undefined, Message: undefined
18:40:13 18/12/2023 - User: 100092359574131, Message: oms
18:40:15 18/12/2023 - User: undefined, Message: undefined
18:40:15 18/12/2023 - User: 100092359574131, Message: nakuhah muh
18:40:16 18/12/2023 - User: undefined, Message: undefined
18:40:16 18/12/2023 - User: undefined, Message: undefined
18:40:16 18/12/2023 - User: undefined, Message: undefined
18:40:17 18/12/2023 - User: undefined, Message: undefined
18:40:17 18/12/2023 - User: undefined, Message: undefined
18:40:18 18/12/2023 - User: 100081804584470, Message: ⚫️⚫️⚫️⚫️⚫️
18:40:19 18/12/2023 - User: undefined, Message: undefined
18:40:19 18/12/2023 - User: undefined, Message: undefined
18:40:21 18/12/2023 - User: 100081804584470, Message: undefined
18:40:25 18/12/2023 - User: undefined, Message: undefined
18:40:27 18/12/2023 - User: 100075058221244, Message: 
18:40:28 18/12/2023 - User: undefined, Message: undefined
18:40:28 18/12/2023 - User: undefined, Message: undefined
18:40:28 18/12/2023 - User: 100075058221244, Message: undefined
18:40:28 18/12/2023 - User: undefined, Message: undefined
18:40:28 18/12/2023 - User: 100075058221244, Message: undefined
18:40:29 18/12/2023 - User: undefined, Message: undefined
18:40:34 18/12/2023 - User: undefined, Message: undefined
18:40:40 18/12/2023 - User: 100075058221244, Message: undefined
18:40:44 18/12/2023 - User: undefined, Message: undefined
18:40:47 18/12/2023 - User: undefined, Message: undefined
18:40:51 18/12/2023 - User: undefined, Message: undefined
18:40:51 18/12/2023 - User: 100075058221244, Message: nasesend to lagi ahaha
18:40:52 18/12/2023 - User: undefined, Message: undefined
18:40:52 18/12/2023 - User: undefined, Message: undefined
18:40:52 18/12/2023 - User: undefined, Message: undefined
18:40:53 18/12/2023 - User: 100075058221244, Message: undefined
18:40:53 18/12/2023 - User: 100075058221244, Message: undefined
18:40:53 18/12/2023 - User: 100075058221244, Message: undefined
18:40:53 18/12/2023 - User: 100075058221244, Message: undefined
18:40:53 18/12/2023 - User: undefined, Message: undefined
18:41:17 18/12/2023 - User: undefined, Message: undefined
18:41:21 18/12/2023 - User: 100092359574131, Message: nakz
18:41:22 18/12/2023 - User: undefined, Message: undefined
18:41:22 18/12/2023 - User: undefined, Message: undefined
18:41:22 18/12/2023 - User: undefined, Message: undefined
18:41:23 18/12/2023 - User: undefined, Message: undefined
18:41:34 18/12/2023 - User: undefined, Message: undefined
18:42:32 18/12/2023 - User: 100048892837161, Message: taga imus ka?
18:42:33 18/12/2023 - User: undefined, Message: undefined
18:42:33 18/12/2023 - User: undefined, Message: undefined
18:42:33 18/12/2023 - User: undefined, Message: undefined
18:42:34 18/12/2023 - User: undefined, Message: undefined
18:42:35 18/12/2023 - User: 100048892837161, Message: undefined
18:42:36 18/12/2023 - User: undefined, Message: undefined
18:42:41 18/12/2023 - User: undefined, Message: undefined
18:42:42 18/12/2023 - User: undefined, Message: undefined
18:42:42 18/12/2023 - User: 100075058221244, Message: opo
18:42:43 18/12/2023 - User: undefined, Message: undefined
18:42:43 18/12/2023 - User: undefined, Message: undefined
18:42:43 18/12/2023 - User: undefined, Message: undefined
18:42:43 18/12/2023 - User: undefined, Message: undefined
18:42:43 18/12/2023 - User: undefined, Message: undefined
18:42:49 18/12/2023 - User: 100048892837161, Message: magalasang ako
18:42:50 18/12/2023 - User: undefined, Message: undefined
18:42:50 18/12/2023 - User: undefined, Message: undefined
18:42:50 18/12/2023 - User: undefined, Message: undefined
18:42:50 18/12/2023 - User: undefined, Message: undefined
18:42:50 18/12/2023 - User: undefined, Message: undefined
18:42:52 18/12/2023 - User: undefined, Message: undefined
18:42:54 18/12/2023 - User: undefined, Message: undefined
18:42:55 18/12/2023 - User: undefined, Message: undefined
18:42:55 18/12/2023 - User: undefined, Message: undefined
18:42:56 18/12/2023 - User: undefined, Message: undefined
18:42:58 18/12/2023 - User: undefined, Message: undefined
18:43:01 18/12/2023 - User: undefined, Message: undefined
18:43:01 18/12/2023 - User: undefined, Message: undefined
18:43:02 18/12/2023 - User: undefined, Message: undefined
18:43:13 18/12/2023 - User: undefined, Message: undefined
18:43:14 18/12/2023 - User: undefined, Message: undefined
18:43:15 18/12/2023 - User: 100075058221244, Message: MALAGASANG????????????
18:43:15 18/12/2023 - User: undefined, Message: undefined
18:43:15 18/12/2023 - User: undefined, Message: undefined
18:43:15 18/12/2023 - User: undefined, Message: undefined
18:43:16 18/12/2023 - User: undefined, Message: undefined
18:43:16 18/12/2023 - User: undefined, Message: undefined
18:43:16 18/12/2023 - User: 100075058221244, Message: wtf
18:43:16 18/12/2023 - User: undefined, Message: undefined
18:43:16 18/12/2023 - User: undefined, Message: undefined
18:43:16 18/12/2023 - User: undefined, Message: undefined
18:43:16 18/12/2023 - User: undefined, Message: undefined
18:43:17 18/12/2023 - User: undefined, Message: undefined
18:43:17 18/12/2023 - User: 100075058221244, Message: undefined
18:43:18 18/12/2023 - User: undefined, Message: undefined
18:43:19 18/12/2023 - User: 100075058221244, Message: undefined
18:43:20 18/12/2023 - User: undefined, Message: undefined
18:43:25 18/12/2023 - User: undefined, Message: undefined
18:43:25 18/12/2023 - User: 100048892837161, Message: yeh haha
18:43:26 18/12/2023 - User: undefined, Message: undefined
18:43:26 18/12/2023 - User: undefined, Message: undefined
18:43:26 18/12/2023 - User: undefined, Message: undefined
18:43:26 18/12/2023 - User: 100048892837161, Message: undefined
18:43:27 18/12/2023 - User: 100048892837161, Message: undefined
18:43:27 18/12/2023 - User: undefined, Message: undefined
18:50:40 18/12/2023 - User: 100027399343135, Message: tirador ng bata🤭 ay HAHAHAHA jk
18:50:40 18/12/2023 - User: 100027399343135, Message: undefined
18:50:40 18/12/2023 - User: 100027399343135, Message: undefined
18:50:40 18/12/2023 - User: 100027399343135, Message: undefined
18:50:40 18/12/2023 - User: 100027399343135, Message: undefined
18:50:40 18/12/2023 - User: 100027399343135, Message: undefined
18:50:40 18/12/2023 - User: 100027399343135, Message: undefined
18:50:41 18/12/2023 - User: 100092433416284, Message: undefined
18:50:42 18/12/2023 - User: undefined, Message: undefined
18:50:43 18/12/2023 - User: undefined, Message: undefined
18:50:44 18/12/2023 - User: 100027399343135, Message: undefined
18:50:47 18/12/2023 - User: undefined, Message: undefined
18:50:49 18/12/2023 - User: 100027399343135, Message: undefined
18:50:50 18/12/2023 - User: undefined, Message: undefined
18:50:50 18/12/2023 - User: undefined, Message: undefined
18:50:52 18/12/2023 - User: 100027399343135, Message: undefined
18:50:52 18/12/2023 - User: undefined, Message: undefined
18:50:52 18/12/2023 - User: 100075058221244, Message: pedo-
18:50:53 18/12/2023 - User: undefined, Message: undefined
18:50:54 18/12/2023 - User: undefined, Message: undefined
18:51:11 18/12/2023 - User: 100092433416284, Message: pdf
18:51:11 18/12/2023 - User: undefined, Message: undefined
18:51:11 18/12/2023 - User: undefined, Message: undefined
18:51:11 18/12/2023 - User: undefined, Message: undefined
18:51:11 18/12/2023 - User: undefined, Message: undefined
18:51:11 18/12/2023 - User: 100092433416284, Message: undefined
18:51:13 18/12/2023 - User: 100092433416284, Message: undefined
18:51:14 18/12/2023 - User: undefined, Message: undefined
18:51:14 18/12/2023 - User: undefined, Message: undefined
18:51:23 18/12/2023 - User: undefined, Message: undefined
18:51:29 18/12/2023 - User: undefined, Message: undefined
18:51:29 18/12/2023 - User: undefined, Message: undefined
